"GEOG","LEA_STATE","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"STATE","ID",703,2011,285820,80600,NA,9303,0,0,NA,NA,0.779123224406969,0.0116052060737527,0.0144461549226786,0.154068994472045,0.0407564201245539,0.220876775593031,0.0325484570708838,1.03395782145782,0.572879483256842,2.08357903357903
"STATE","ID",715,2013,290323,84827,19.727479295602,9356,14716.68,0,NA,NA,0.767135225249119,0.0119832049131485,0.0138432022264857,0.164899095145751,0.0421392724654953,0.232864774750881,0.0322261756733018,1.17767284054579,0.489150737323578,1.98716600881545
"STATE","ID",720,2015,297049,85893,19.3764929423555,10815,15330.3800065219,0,NA,NA,0.757205040245885,0.0114661217509569,0.0132570720655515,0.171628249884699,0.0464435160529071,0.242794959754115,0.03640813468485,1.24667044292397,0.458314548468928,1.41676872579717
"STATE","ID",725,2017,305345,89938,18.2013537250698,11979,16775.9499986768,664,1,9.35211267605634,0.754779020452275,0.0107746974733498,0.0128182875108484,0.177248685912656,0.0443793086508703,0.245220979547725,0.0392310337487105,1.96886174126665,0.540710492251386,1.70135014582537
"STATE","ID",755,2020,308998,93715,17.55024285881,11746,17606.4800063372,581,1,7.17283950617284,0.743797694483459,0.0117800115211102,0.0118253192577298,0.182557815908194,0.050039158829507,0.256202305516541,0.0380131910238901,1.85466527246473,0.498032265797787,1.73723640443819
"STATE","ID",761,2021,314601,96853,17.8329972739083,12383,17641.5100147128,618,1,7.92307692307692,0.741246849183569,0.0111633465882181,0.0113477070956545,0.175476238155632,0.0607658589769263,0.258753150816431,0.0393609683376722,1.46619241387627,0.475895450160513,1.74257874468326
"STATE","IL",4221,2011,2074684,617886,NA,101318,0,0,NA,NA,0.506370608728847,0.180078990342626,0.0428532730767674,0.236271162258927,0.0344259655928325,0.493629391271153,0.0488353889074192,1.84549268363575,0.459179807687355,1.39864184774223
"STATE","IL",4134,2013,2052294,610049,14.9588809969176,111291,137195.69,0,NA,NA,0.49846269589055,0.174813647557319,0.0454525521197255,0.245687508709766,0.0355835957226401,0.50153730410945,0.0542276106639692,1.53663913172965,0.474249931639521,1.05150212096966
"STATE","IL",4081,2015,2032308,609599,14.8944057276114,125295,136447.739988208,0,NA,NA,0.486935051183187,0.17299641589759,0.0478362531663508,0.254679408829764,0.0375336809184435,0.513064948816813,0.0616515803706918,1.79334182066572,0.480273247044642,1.18108773560209
"STATE","IL",4145,2017,1993890,608506,14.4735741728164,143767,137760.720067669,5470,2,11.3721413721414,0.479717035543586,0.168425540024776,0.0509200607857003,0.262474860699437,0.0384625029465016,0.520282964456414,0.0721037770388537,1.79713598256331,0.492801016606536,1.13403642424862
